Course,Year,Season,Antal bestået,Antal tilmeldte,Eksamensgennemsnit,Fremmødte
47301,2020,Summer,"59  (85  %  af de tilmeldte,  100  %  af de fremmødte)",69,"8,8 (Efter 7-trinsskalaen)",59
47301,2021,Summer,"80  (89  %  af de tilmeldte,  96  %  af de fremmødte)",89,"8,7 (Efter 7-trinsskalaen)",83
47301,2022,Summer,"85  (92  %  af de tilmeldte,  100  %  af de fremmødte)",92,"8,7 (Efter 7-trinsskalaen)",85
47301,2023,Summer,"86  (94  %  af de tilmeldte,  98  %  af de fremmødte)",91,"7,5 (Efter 7-trinsskalaen)",87
47301,2024,Summer,"98  (97  %  af de tilmeldte,  98  %  af de fremmødte)",101,"7,7 (Efter 7-trinsskalaen)",100
47302,2017,Winter,"16  (100  %  af de tilmeldte,  100  %  af de fremmødte)",16,Intet eksamensgennemsnit,16
47302,2018,Winter,"15  (93  %  af de tilmeldte,  100  %  af de fremmødte)",16,Intet eksamensgennemsnit,15
47302,2019,Winter,"14  (100  %  af de tilmeldte,  100  %  af de fremmødte)",14,Intet eksamensgennemsnit,14
47302,2020,Winter,"14  (100  %  af de tilmeldte,  100  %  af de fremmødte)",14,Intet eksamensgennemsnit,14
47302,2021,Winter,"17  (94  %  af de tilmeldte,  100  %  af de fremmødte)",18,Intet eksamensgennemsnit,17
47302,2022,Winter,"16  (94  %  af de tilmeldte,  100  %  af de fremmødte)",17,Intet eksamensgennemsnit,16
47302,2023,Winter,"19  (100  %  af de tilmeldte,  100  %  af de fremmødte)",19,Intet eksamensgennemsnit,19
47303,2017,Summer,"11  (91  %  af de tilmeldte,  100  %  af de fremmødte)",12,"8,3 (Efter 7-trinsskalaen)",11
47303,2018,Summer,"7  (87  %  af de tilmeldte,  87  %  af de fremmødte)",8,"6,5 (Efter 7-trinsskalaen)",8
47303,2019,Summer,"6  (100  %  af de tilmeldte,  100  %  af de fremmødte)",6,7 (Efter 7-trinsskalaen),6
47303,2020,Summer,"13  (100  %  af de tilmeldte,  100  %  af de fremmødte)",13,"8,9 (Efter 7-trinsskalaen)",13
47303,2021,Summer,"10  (100  %  af de tilmeldte,  100  %  af de fremmødte)",10,"8,3 (Efter 7-trinsskalaen)",10
47304,2017,Summer,"29  (100  %  af de tilmeldte,  100  %  af de fremmødte)",29,"8,6 (Efter 7-trinsskalaen)",29
47304,2018,Summer,"20  (100  %  af de tilmeldte,  100  %  af de fremmødte)",20,"10,5 (Efter 7-trinsskalaen)",20
47304,2019,Summer,"14  (100  %  af de tilmeldte,  100  %  af de fremmødte)",14,"9,4 (Efter 7-trinsskalaen)",14
47304,2020,Summer,"9  (90  %  af de tilmeldte,  100  %  af de fremmødte)",10,"9,1 (Efter 7-trinsskalaen)",9
47304,2021,Summer,"21  (91  %  af de tilmeldte,  91  %  af de fremmødte)",23,"8,9 (Efter 7-trinsskalaen)",23
47304,2022,Summer,"24  (92  %  af de tilmeldte,  100  %  af de fremmødte)",26,8 (Efter 7-trinsskalaen),24
47304,2023,Summer,"23  (100  %  af de tilmeldte,  100  %  af de fremmødte)",23,9 (Efter 7-trinsskalaen),23
47304,2024,Summer,"36  (94  %  af de tilmeldte,  97  %  af de fremmødte)",38,9 (Efter 7-trinsskalaen),37
47305,2017,Summer,"16  (88  %  af de tilmeldte,  100  %  af de fremmødte)",18,"10,4 (Efter 7-trinsskalaen)",16
47305,2017,Winter,,1,,1
47305,2018,Summer,"12  (85  %  af de tilmeldte,  100  %  af de fremmødte)",14,"10,3 (Efter 7-trinsskalaen)",12
47305,2019,Summer,"16  (94  %  af de tilmeldte,  100  %  af de fremmødte)",17,"8,9 (Efter 7-trinsskalaen)",16
47305,2020,Summer,"14  (100  %  af de tilmeldte,  100  %  af de fremmødte)",14,"9,1 (Efter 7-trinsskalaen)",14
47305,2021,Summer,"29  (93  %  af de tilmeldte,  100  %  af de fremmødte)",31,10 (Efter 7-trinsskalaen),29
47305,2022,Summer,"29  (74  %  af de tilmeldte,  96  %  af de fremmødte)",39,"8,9 (Efter 7-trinsskalaen)",30
47305,2023,Summer,"22  (91  %  af de tilmeldte,  100  %  af de fremmødte)",24,"9,1 (Efter 7-trinsskalaen)",22
47305,2024,Summer,"25  (86  %  af de tilmeldte,  100  %  af de fremmødte)",29,"7,9 (Efter 7-trinsskalaen)",25
47309,2017,Winter,"8  (100  %  af de tilmeldte,  100  %  af de fremmødte)",8,Intet eksamensgennemsnit,8
47309,2020,Winter,"7  (100  %  af de tilmeldte,  100  %  af de fremmødte)",7,Intet eksamensgennemsnit,7
47309,2022,Summer,"7  (100  %  af de tilmeldte,  100  %  af de fremmødte)",7,Intet eksamensgennemsnit,7
47310,2017,Winter,"18  (100  %  af de tilmeldte,  100  %  af de fremmødte)",18,"9,3 (Efter 7-trinsskalaen)",18
47310,2018,Winter,"15  (83  %  af de tilmeldte,  100  %  af de fremmødte)",18,"9,5 (Efter 7-trinsskalaen)",15
47310,2019,Winter,"15  (88  %  af de tilmeldte,  100  %  af de fremmødte)",17,9 (Efter 7-trinsskalaen),15
47310,2020,Winter,"15  (100  %  af de tilmeldte,  100  %  af de fremmødte)",15,10 (Efter 7-trinsskalaen),15
47310,2021,Winter,"18  (94  %  af de tilmeldte,  94  %  af de fremmødte)",19,"9,3 (Efter 7-trinsskalaen)",19
47310,2022,Winter,"21  (95  %  af de tilmeldte,  100  %  af de fremmødte)",22,"8,9 (Efter 7-trinsskalaen)",21
47310,2023,Winter,"20  (86  %  af de tilmeldte,  100  %  af de fremmødte)",23,"8,5 (Efter 7-trinsskalaen)",20
47310,2024,Summer,,2,,2
47311,2017,Winter,"8  (100  %  af de tilmeldte,  100  %  af de fremmødte)",8,10 (Efter 7-trinsskalaen),8
